,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
82,83,2003-07-10,CBOT Soybean Oil,BO,grain,Long,39.46000457763672,2,324.0,27,5.98,1,2003-07-10,39.19000244140625,2.0,-324.0,-27.0,0.0,stop,2003-07-10,-324.0,-27,0.0,LOSE,39.19000244140625,39.19000244140625,0.0,0,0,-0.0,False
83,84,2003-07-11,CBOT Soybean Oil,BO,grain,Long,39.26000762939453,2,264.0,22,5.98,1,2003-07-11,39.040000915527344,2.0,-264.0,-22.0,0.0,stop,2003-07-11,-264.0,-22,0.0,LOSE,39.040000915527344,39.040000915527344,0.0,0,0,-0.0,False
84,85,2003-07-11,NYMEX Gold,GC,metal,Long,707.60078125,2,160.0,8,5.98,1,2003-07-11,706.80078125,2.0,-160.0,-8.0,0.0,stop,2003-07-11,-160.0,-8,0.0,LOSE,706.80078125,706.80078125,0.0,0,0,-0.0,False
85,86,2003-07-14,CBOT Soybean Oil,BO,grain,Long,39.05000762939453,2,180.0,15,5.98,1,2003-07-14,38.900001525878906,2.0,-180.0,-15.0,0.0,stop,2003-07-14,-180.0,-15,0.0,LOSE,38.900001525878906,38.900001525878906,0.0,0,0,-0.0,False
86,87,2003-07-14,NYMEX Gold,GC,metal,Long,711.100732421875,2,860.0,43,5.98,1,2003-07-15,706.80078125,2.0,-860.0,-43.0,1.0,stop,2003-07-15,-860.0,-43,1.0,LOSE,706.80078125,706.80078125,0.0,0,0,-0.0,False
87,88,2003-07-15,CBOT Soybean Oil,BO,grain,Long,38.81000762939453,2,72.0,6,5.98,1,2003-07-15,38.75000762939453,2.0,-72.0,-6.0,0.0,stop,2003-07-15,-72.0,-6,0.0,LOSE,38.75000762939453,38.75000762939453,0.0,0,0,-0.0,False
88,89,2003-07-16,CME Australian Dollar AUD,AD,currency,Long,0.3177003755569458,2,1020.0,102,5.98,1,2003-07-17,0.31260037422180176,2.0,-1020.0,-102.0,1.0,stop,2003-07-17,-1020.0,-102,1.0,LOSE,0.31260037422180176,0.31260037422180176,0.0,0,0,-0.0,False
89,90,2003-07-16,CBOT Soybean Oil,BO,grain,Long,38.78000122070313,2,84.0,7,5.98,1,2003-07-16,38.71000671386719,2.0,-84.0,-7.0,0.0,stop,2003-07-16,-84.0,-7,0.0,LOSE,38.71000671386719,38.71000671386719,0.0,0,0,-0.0,False
90,91,2003-07-16,NYMEX Gold,GC,metal,Long,707.0007568359375,2,300.0,15,5.98,1,2003-07-17,705.500732421875,2.0,-300.0,-15.0,1.0,stop,2003-07-17,-300.0,-15,1.0,LOSE,705.500732421875,705.500732421875,0.0,0,0,-0.0,False
91,92,2003-07-17,CBOT Soybean Oil,BO,grain,Long,38.82000518798828,2,444.0,37,5.98,1,2003-07-17,38.45000457763672,2.0,-444.0,-37.0,0.0,stop,2003-07-17,-444.0,-37,0.0,LOSE,38.45000457763672,38.45000457763672,0.0,0,0,-0.0,False
